,ID,Location,Date Created,n
0,A000513, BlackLakeN-facing,2019-03-19 19:11:54,1
1,A000466, NCOS Saltmarsh,2019-03-12 22:47:11,2
2,A000546, NCOS 2017 Stipa,2019-03-12 23:08:06,3
3,A000318, LagoonCoastalSage,2019-02-05 23:45:25,4
4,A000536, Lagoon 2016 Burn,2019-02-06 00:43:30,5
5,A000369, SaltMarshMilkVetch,2019-03-12 23:12:28,6
6,A000465, CampusPtIceplant,2019-02-05 21:44:10,7
7,A000522, Philips 66 Nipomo,2019-03-20 19:32:35,8
8,A000507, BlackLakeGentleSo,2019-03-18 18:45:32,9
9,A000563, Stipa Loam NCOS,2019-03-18 22:04:27,10
10,A000502, Oaks N-facing NCOS,2019-03-14 22:00:36,11
11,A000229, LagoonAnnualGrass,2019-02-05 23:19:19,12
12,A001512,,2018-06-21 00:57:14,13
13,A000514,,2018-11-06 20:26:10,14
14,A000417,,2020-01-04 23:43:51,15
15,A000461,,2020-01-04 23:43:51,16
16,A000543,,2020-01-04 23:43:51,17
